iter	Passed	Remaining
617	4128	2551
618	4134	2544
619	4141	2538
620	4147	2531
621	4153	2524
622	4161	2518
623	4168	2511
624	4175	2505
625	4183	2499
626	4191	2493
627	4197	2486
628	4204	2479
629	4210	2472
630	4216	2465
631	4223	2459
632	4229	2452
633	4235	2445
634	4242	2438
635	4248	2431
636	4255	2424
637	4261	2418
638	4267	2411
639	4274	2404
640	4280	2397
641	4287	2390
642	4293	2383
643	4299	2376
644	4306	2370
645	4312	2363
646	4318	2356
647	4325	2349
648	4331	2342
649	4338	2336
650	4345	2329
651	4351	2322
652	4358	2316
653	4365	2309
654	4375	2304
655	4381	2297
656	4388	2291
657	4395	2284
658	4402	2278
659	4409	2271
660	4415	2264
661	4421	2257
662	4428	2250
663	4434	2244
664	4440	2237
665	4447	2230
666	4453	2223
667	4460	2216
668	4466	2209
669	4472	2203
670	4479	2196
671	4485	2189
672	4492	2182
673	4498	2175
674	4504	2169
675	4511	2162
676	4517	2155
677	4523	2148
678	4530	2141
679	4536	2134
680	4543	2128
681	4549	2121
682	4557	2115
683	4565	2109
684	4574	2103
685	4580	2096
686	4587	2089
687	4593	2083
688	4600	2076
689	4606	2069
690	4612	2062
691	4619	2055
692	4625	2049
693	4631	2042
694	4638	2035
695	4645	2028
696	4651	2022
697	4657	2015
698	4664	2008
699	4670	2001
700	4676	1994
701	4683	1988
702	4689	1981
703	4695	1974
704	4702	1967
705	4708	1960
706	4715	1954
707	4721	1947
708	4727	1940
709	4734	1933
710	4740	1926
711	4746	1920
712	4754	1913
713	4763	1907
714	4770	1901
715	4776	1894
716	4784	1888
717	4790	1881
718	4797	1874
719	4803	1868
720	4810	1861
721	4816	1854
722	4823	1848
723	4830	1841
724	4836	1834
725	4843	1827
726	4849	1821
727	4856	1814
728	4863	1807
729	4869	1801
730	4875	1794
731	4882	1787
732	4888	1780
733	4895	1774
734	4901	1767
735	4908	1760
736	4915	1753
737	4921	1747
738	4928	1740
739	4934	1733
740	4941	1727
741	4947	1720
742	4955	1714
743	4962	1707
744	4971	1701
745	4979	1695
746	4985	1688
747	4991	1681
748	4998	1674
749	5004	1668
750	5011	1661
751	5017	1654
752	5024	1648
753	5030	1641
754	5037	1634
755	5043	1627
756	5050	1621
757	5056	1614
758	5063	1607
759	5069	1600
760	5076	1594
761	5082	1587
762	5088	1580
763	5095	1573
764	5101	1567
765	5108	1560
766	5114	1553
767	5121	1546
768	5127	1540
769	5133	1533
770	5140	1526
771	5147	1520
772	5154	1513
773	5163	1507
774	5169	1500
775	5176	1494
776	5183	1487
777	5190	1481
778	5197	1474
779	5203	1467
780	5210	1460
781	5216	1454
782	5223	1447
783	5229	1440
784	5236	1434
785	5242	1427
786	5249	1420
787	5255	1413
788	5262	1407
789	5268	1400
790	5275	1393
791	5281	1387
792	5288	1380
793	5295	1373
794	5301	1367
795	5308	1360
796	5314	1353
797	5322	1347
798	5329	1340
799	5336	1334
800	5342	1327
801	5349	1320
802	5357	1314
803	5364	1307
804	5374	1301
805	5381	1295
806	5388	1288
807	5395	1282
808	5402	1275
809	5408	1268
810	5415	1262
811	5422	1255
812	5429	1248
813	5436	1242
814	5443	1235
815	5450	1229
816	5457	1222
817	5464	1215
818	5470	1209
819	5477	1202
820	5484	1195
821	5491	1189
822	5497	1182
823	5504	1175
824	5510	1168
825	5517	1162
826	5524	1155
827	5530	1148
828	5537	1142
829	5544	1135
830	5551	1129
831	5558	1122
832	5567	1116
833	5573	1109
834	5579	1102
835	5588	1096
